,Mid-Level Exception,Season,Salary Cap,Luxury Tax,1st Apron,2nd Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap
,,2034-2035,364650000.0,443050000.0,461955000.0,489965000.0,12106000.0,33256000.0,13404000.0,20705000.0
,,2033-2034,331500000.0,402773000.0,419960000.0,445423000.0,11006000.0,30233000.0,12186000.0,18823000.0
,,2032-2033,301364000.0,366157000.0,381781000.0,404929000.0,10005000.0,27484000.0,11078000.0,17111000.0
,,2031-2032,273967000.0,332870000.0,347074000.0,368118000.0,9096000.0,24986000.0,10071000.0,15556000.0
,,2030-2031,249061000.0,302609000.0,315522000.0,334652000.0,8269000.0,22714000.0,9155000.0,14142000.0
,,2029-2030,226419000.0,275099000.0,286838000.0,304229000.0,7517000.0,20649000.0,8323000.0,12856000.0
,,2028-2029,205835000.0,250090000.0,260762000.0,276572000.0,6834000.0,18772000.0,7566000.0,11687000.0
,,2027-2028,187123000.0,227354000.0,237055000.0,251429000.0,6212000.0,17066000.0,6878000.0,10625000.0
,,2026-2027,170112000.0,206686000.0,215505000.0,228572000.0,5648000.0,15514000.0,6253000.0,9659000.0
,,2025-2026,154647000.0,187895000.0,195945000.0,207824000.0,5134000.0,14104000.0,5685000.0,8781000.0
,,2024-2025,140588000.0,170814000.0,178132000.0,188931000.0,4668000.0,12822000.0,5168000.0,7983000.0
,,2023-2024,136021000.0,165294000.0,172346000.0,182794000.0,4516000.0,12405000.0,5000000.0,7723000.0
,,2022-2023,123655000.0,150267000.0,156983000.0,,4105000.0,10490000.0,6479000.0,5401000.0
,,2021-2022,112414000.0,136606000.0,143002000.0,,3732000.0,9536000.0,5890000.0,4910000.0
,,2020-2021,109140000.0,132627000.0,138928000.0,,3623000.0,9258000.0,5718000.0,4767000.0
,,2019-2020,109140000.0,132627000.0,138928000.0,,3623000.0,9258000.0,5718000.0,4767000.0
,,2018-2019,101869000.0,123733000.0,129817000.0,,3382000.0,8641000.0,5337000.0,4449000.0
,,2017-2018,99093000.0,119266000.0,125266000.0,,3290000.0,8406000.0,5192000.0,4328000.0
,,2016-2017,94143000.0,113287000.0,117287000.0,,2203000.0,5628000.0,3477000.0,2898000.0
,,2015-2016,70000000.0,84740000.0,88740000.0,,2139000.0,5464000.0,3376000.0,2814000.0
,,2014-2015,63065000.0,76829000.0,80829000.0,,2077000.0,5305000.0,3278000.0,2732000.0
,,2013-2014,58679000.0,71748000.0,75748000.0,,2016000.0,5150000.0,3183000.0,2652000.0
,,2012-2013,58044000.0,70307000.0,74307000.0,,1957000.0,5000000.0,3090000.0,2575000.0
,,2011-2012,58044000.0,70307000.0,74307000.0,,1900000.0,5000000.0,3000000.0,2500000.0
,,2010-2011,58044000.0,70307000.0,,,2080000.0,5765000.0,,
,,2009-2010,57700000.0,69920000.0,,,1990000.0,5854000.0,,
,,2008-2009,58680000.0,71150000.0,,,1910000.0,5585000.0,,
,,2007-2008,55630000.0,67865000.0,,,1830000.0,5356000.0,,
,,2006-2007,53135000.0,65420000.0,,,1750000.0,5215000.0,,
,,2005-2006,49500000.0,61700000.0,,,1670000.0,5000000.0,,
,,2004-2005,43870000.0,,,,1600000.0,4903000.0,,
,,2003-2004,43840000.0,54556722.0,,,1500000.0,4917000.0,,
,,2002-2003,40271000.0,52880000.0,,,1400000.0,4546000.0,,
,,2001-2002,42500000.0,,,,1300000.0,4538000.0,,
,,2000-2001,35500000.0,,,,1200000.0,2250000.0,,
,,1999-2000,34000000.0,,,,1100000.0,2000000.0,,
,,1998-1999,30000000.0,,,,1000000.0,1750000.0,,
,,1997-1998,26900000.0,,,,,,,
,,1996-1997,24363000.0,,,,,,,
,,1995-1996,23000000.0,,,,,,,
,,1994-1995,15964000.0,,,,,,,
,,1993-1994,15175000.0,,,,,,,
,,1992-1993,14000000.0,,,,,,,
,,1991-1992,12500000.0,,,,,,,
,,1990-1991,11871000.0,,,,,,,
,,1989-1990,9802000.0,,,,,,,
,,1988-1989,7232000.0,,,,,,,
,,1987-1988,6164000.0,,,,,,,
,,1986-1987,4945000.0,,,,,,,
,,1986-1987,4945000.0,,,,,,,
,,1985-1986,4233000.0,,,,,,,
,,1984-1985,3600000.0,,,,,,,
