Player,Salary,Season,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Wins,Losses,Min Salary,Max Salary,Salary Cap,2022 Dollars
Stephen Curry,51915615,2023-24,Guard,36.0,GSW,1610612744,14,74,74,2422.0,650,1445,0.45,357,876,0.408,293,569,0.5149384885764499,0.5733564013840831,299,324,0.923,37,293,330,379,54,28,210,117,1956,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,0.142,6.3,-1.1,5.2,4.4,46,36,3196448.0,47607350.0,136021000,
Stephen Curry,48070014,2022-23,Guard,35.0,GSW,1610612744,13,56,56,1941.0,559,1133,0.493,273,639,0.427,286,494,0.5789473684210527,0.6138570167696381,257,281,0.915,39,302,341,352,52,20,179,117,1648,24.1,0.656,0.564,0.248,2.3,16.8,9.7,30.0,1.3,0.9,12.5,31.0,5.8,2.0,7.8,0.192,7.5,0.1,7.5,4.7,44,38,2905851.0,43279250.0,123655000,
Stephen Curry,45780966,2021-22,Guard,34.0,GSW,1610612744,12,64,64,2211.0,535,1224,0.437,285,750,0.38,250,474,0.5274261603375527,0.5535130718954249,275,298,0.923,34,301,335,404,85,23,206,130,1630,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,4.6,3.4,8.0,0.173,5.4,0.4,5.8,4.4,53,29,2641691.0,39344900.0,112414000,112414000.0
Stephen Curry,43006362,2020-21,Guard,33.0,GSW,1610612744,11,63,63,2152.0,658,1365,0.482,337,801,0.421,321,564,0.5691489361702128,0.6054945054945055,362,395,0.916,29,316,345,363,77,8,213,119,2015,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9.0,0.201,8.3,0.4,8.7,5.8,39,33,2564753.0,38199000.0,109140000,117838496.0
Stephen Curry,40231758,2019-20,Guard,32.0,GSW,1610612744,10,5,5,139.0,33,82,0.402,12,49,0.245,21,33,0.6363636363636364,0.4756097560975609,26,26,1.0,4,22,26,33,5,2,16,11,104,21.7,0.557,0.598,0.317,3.0,17.8,10.1,42.3,1.7,1.3,14.6,33.6,0.2,0.1,0.3,0.103,4.5,-0.6,3.9,0.2,15,50,2564753.0,38199000.0,109140000,123384194.0
Stephen Curry,37457154,2018-19,Guard,31.0,GSW,1610612744,9,69,69,2331.0,632,1340,0.472,354,810,0.437,278,530,0.5245283018867924,0.6037313432835821,263,287,0.916,45,324,369,361,92,25,192,166,1881,24.4,0.641,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,7.2,2.5,9.7,0.199,7.1,-0.5,6.6,5.1,57,25,1512601.0,30560700.0,101869000,116573245.0
Stephen Curry,34682550,2017-18,Guard,30.0,GSW,1610612744,8,51,51,1631.0,428,864,0.495,212,501,0.423,216,363,0.5950413223140496,0.6180555555555556,278,302,0.921,36,225,261,310,80,8,153,114,1346,28.2,0.675,0.58,0.35,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,7.2,1.9,9.1,0.267,7.8,0.0,7.7,4.0,58,24,1471382.0,29727900.0,99093000,115455294.0
Stephen Curry,12112359,2016-17,Guard,29.0,GSW,1610612744,7,79,79,2639.0,675,1443,0.468,324,789,0.411,351,654,0.536697247706422,0.58004158004158,325,362,0.898,61,292,353,524,142,17,239,183,1999,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13.0,30.1,8.7,3.9,12.6,0.229,6.7,0.3,6.9,5.9,67,15,980431.0,26540100.0,94143000,112368348.0
Stephen Curry,11370786,2015-16,Guard,28.0,GSW,1610612744,6,79,79,2700.0,805,1598,0.504,402,886,0.454,403,712,0.5660112359550562,0.6295369211514393,363,400,0.908,68,362,430,527,169,15,262,161,2375,31.5,0.669,0.554,0.25,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,13.8,4.1,17.9,0.318,10.3,1.6,11.9,9.5,73,9,947276.0,16407500.0,70000000,85323721.0
Stephen Curry,10629213,2014-15,Guard,27.0,GSW,1610612744,5,80,80,2613.0,653,1341,0.487,286,646,0.443,367,695,0.5280575539568345,0.5935868754660701,308,337,0.914,56,285,341,619,163,16,249,158,1900,28.0,0.638,0.482,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,0.288,8.2,1.7,9.9,7.9,67,15,915243.0,14746000.0,63065000,77841847.0
Stephen Curry,9887642,2013-14,Guard,26.0,GSW,1610612744,4,78,78,2846.0,652,1383,0.471,261,615,0.424,391,768,0.5091145833333334,0.5657989877078814,308,348,0.885,46,288,334,666,128,14,294,194,1873,24.1,0.61,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,0.225,6.3,1.1,7.4,6.7,51,31,884293.0,13701250.0,58679000,72519787.0
Stephen Curry,3958742,2012-13,Guard,25.0,GSW,1610612744,3,78,78,2983.0,626,1388,0.451,272,600,0.453,354,788,0.449238578680203,0.5489913544668588,262,291,0.9,59,255,314,539,126,12,240,198,1786,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,8.4,2.8,11.2,0.18,5.3,0.1,5.4,5.6,47,35,854389.0,13668750.0,58044000,72903264.0
Stephen Curry,3117120,2011-12,Guard,24.0,GSW,1610612744,2,26,23,732.0,145,296,0.49,55,121,0.455,90,175,0.5142857142857142,0.5827702702702703,38,47,0.809,15,73,88,138,39,8,65,62,383,21.2,0.605,0.409,0.159,2.3,11.3,6.8,32.3,2.8,0.8,17.0,24.0,1.8,0.4,2.2,0.144,4.1,0.3,4.3,1.2,23,43,854389.0,12922194.0,58044000,73970553.0
Stephen Curry,2913840,2010-11,Guard,23.0,GSW,1610612744,1,74,74,2489.0,505,1053,0.48,151,342,0.442,354,711,0.4978902953586498,0.5512820512820513,212,227,0.934,52,234,286,432,109,20,226,233,1373,19.4,0.595,0.325,0.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,5.4,1.3,6.6,0.128,3.0,-0.7,2.3,2.7,36,46,762195.0,13603750.0,58044000,75491545.0
Stephen Curry,2710560,2009-10,Guard,22.0,GSW,1610612744,0,80,77,2896.0,528,1143,0.462,166,380,0.437,362,763,0.4744429882044561,0.5345581802274716,177,200,0.885,48,308,356,472,152,19,243,252,1399,16.3,0.568,0.332,0.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,3.0,1.6,4.7,0.077,1.1,-0.5,0.7,2.0,26,56,457588.0,13520500.0,57700000,77414680.0
